cohort,gene_symbol,hedges_g,variance
GSE96804,DTNB,0.5324056474989761,0.07679241147437804
GSE96804,E2F4,-0.3731465111377815,0.07557022965476358
GSE96804,E2F5,0.5461501508008005,0.0769180404043012
GSE96804,EFEMP1,-0.7455606070505858,0.0791009271124868
GSE96804,EFEMP2,-0.8215993445571749,0.0801107988429202
GSE96804,EGLN1,-0.806354618090041,0.0799004792423978
GSE96804,EGLN2,0.2314165903027184,0.0748440882945351
GSE96804,EGLN3,-0.23301343923965104,0.07485037324876352
GSE96804,ELANE,-0.4617068395616998,0.07619679649310049
GSE96804,ELN,2.1421265871398565,0.11327758555779029
GSE96804,EMILIN1,0.989222183058439,0.08268312972832803
GSE96804,EMILIN2,0.2972048235094111,0.07513880921699208
GSE96804,EMILIN3,0.1633489435181331,0.07461636998166352
GSE96804,EPAS1,-0.7768021960118769,0.07950398671370067
GSE96804,EPCAM,-0.02914245482137623,0.07439744121322729
GSE96804,EPO,0.5706874770978351,0.07715027946613641
GSE96804,ESAM,0.47152476661272397,0.07627444394929651
GSE96804,F10,0.9375184748489136,0.08183889551839693
GSE96804,F11,-1.1614458863761998,0.08582207904633898
GSE96804,F12,-0.03743215803398444,0.07440211819443124
GSE96804,F13A1,0.12291333667755185,0.07451827515950012
GSE96804,F13B,-0.8606047415332461,0.08066685848845177
GSE96804,F2,0.32234852732119895,0.07527082503011823
GSE96804,F2R,-0.8125853137171822,0.07998596332675133
GSE96804,F3,-0.8794612863256561,0.08094492317485917
GSE96804,F5,-0.4677486394204179,0.07624438618785981
GSE96804,F7,0.16450918095985914,0.07461959365345668
GSE96804,F8,-0.11284402759568987,0.07449815724620187
GSE96804,F9,0.04358058587306849,0.07440633938943088
GSE96804,FBLN1,0.9539587083054581,0.08210242370881037
GSE96804,FBLN2,0.7496940947740894,0.07915330522226226
GSE96804,FBLN5,1.142041792256449,0.0854432901334587
GSE96804,FBN1,1.5913658067137542,0.0958516433158095
GSE96804,FBN2,0.8282671508527778,0.08020402757347105
GSE96804,FBN3,0.652395132840493,0.07799718804950652
GSE96804,FCAMR,-0.5928927277351315,0.07736924209397465
GSE96804,FCER1G,0.3621688306108497,0.07550182239282911
GSE96804,FCN1,-0.7011922960765276,0.07855694420817692
GSE96804,FCN2,0.14443518806960393,0.07456703647491955
GSE96804,FCN3,-0.4891820404822508,0.0764182021120185
GSE96804,FGA,0.1981193383000042,0.07472288180251048
GSE96804,FGB,0.1520329235439677,0.0745861253417723
GSE96804,FGF2,1.100929966903174,0.08466182688570532
GSE96804,FGG,0.22266950060274276,0.07481042785581762
GSE96804,FKBP1A,0.31185275910556237,0.07521441460889454
GSE96804,FMOD,1.0162786756987756,0.08314297565396493
GSE96804,FN1,1.831417111844842,0.10281472388174498
GSE96804,FURIN,-0.0809480429097879,0.07444577428931126
GSE96804,FYN,-0.022215741948403603,0.07439442643795019
GSE96804,GAS6,-2.153682218188195,0.11369827014769346
GSE96804,GDF5,0.7514286745396614,0.07917537146956133
GSE96804,GLG1,-0.4363068177193533,0.07600349508200165
GSE96804,GP1BA,0.35899756212874967,0.07548244093306941
GSE96804,GP5,-0.2747147661694456,0.07502980494270625
GSE96804,GP6,0.10109632407387371,0.07447685802736487
GSE96804,GP9,0.13745829618518096,0.07455036918371133
GSE96804,GPC1,0.6805920590430983,0.07831571467220617
GSE96804,GPC2,-0.439789538100026,0.0760293526975427
GSE96804,GPC3,0.012391841127469097,0.07439154523910452
GSE96804,GPC4,-0.09563535815233148,0.07446775340861635
