dataset,sample_1,sample_2,pearson_correlation
GSE142025 C1,GSM4217789,GSM4217813,0.4802544267213983
GSE142025 C1,GSM4217789,GSM4217814,0.6059640595020263
GSE142025 C1,GSM4217789,GSM4217815,0.5240445329697226
GSE142025 C1,GSM4217789,GSM4217816,0.5778088031415247
GSE142025 C1,GSM4217790,GSM4217791,0.8287500804835004
GSE142025 C1,GSM4217790,GSM4217792,0.7441437643088198
GSE142025 C1,GSM4217790,GSM4217793,0.6622034821176808
GSE142025 C1,GSM4217790,GSM4217794,0.6890609860367882
GSE142025 C1,GSM4217790,GSM4217795,0.6364252578060278
GSE142025 C1,GSM4217790,GSM4217796,0.7793189850159005
GSE142025 C1,GSM4217790,GSM4217797,0.697946170692632
GSE142025 C1,GSM4217790,GSM4217798,0.747031366844277
GSE142025 C1,GSM4217790,GSM4217799,0.6618787249000254
GSE142025 C1,GSM4217790,GSM4217800,0.7308453263991341
GSE142025 C1,GSM4217790,GSM4217801,0.7435132443736899
GSE142025 C1,GSM4217790,GSM4217808,0.7940024118511216
GSE142025 C1,GSM4217790,GSM4217809,0.7507922342240115
GSE142025 C1,GSM4217790,GSM4217810,0.6725611705088576
GSE142025 C1,GSM4217790,GSM4217811,0.7800637401295476
GSE142025 C1,GSM4217790,GSM4217812,0.6883973933132037
GSE142025 C1,GSM4217790,GSM4217813,0.7376319519655924
GSE142025 C1,GSM4217790,GSM4217814,0.7914669366957114
GSE142025 C1,GSM4217790,GSM4217815,0.7665137856876778
GSE142025 C1,GSM4217790,GSM4217816,0.7822029018267956
GSE142025 C1,GSM4217791,GSM4217792,0.7293603102017973
GSE142025 C1,GSM4217791,GSM4217793,0.7319443839388639
GSE142025 C1,GSM4217791,GSM4217794,0.7443213966366822
GSE142025 C1,GSM4217791,GSM4217795,0.7390847135547918
GSE142025 C1,GSM4217791,GSM4217796,0.8431424119350402
GSE142025 C1,GSM4217791,GSM4217797,0.604788944980192
GSE142025 C1,GSM4217791,GSM4217798,0.8162289719526136
GSE142025 C1,GSM4217791,GSM4217799,0.7002210774753252
GSE142025 C1,GSM4217791,GSM4217800,0.7244971441789924
GSE142025 C1,GSM4217791,GSM4217801,0.7491053923600862
GSE142025 C1,GSM4217791,GSM4217808,0.7382557405223154
GSE142025 C1,GSM4217791,GSM4217809,0.6828036376665084
GSE142025 C1,GSM4217791,GSM4217810,0.6549584829710592
GSE142025 C1,GSM4217791,GSM4217811,0.700787622907646
GSE142025 C1,GSM4217791,GSM4217812,0.6317982211436542
GSE142025 C1,GSM4217791,GSM4217813,0.6714653032902442
GSE142025 C1,GSM4217791,GSM4217814,0.7473306344168889
GSE142025 C1,GSM4217791,GSM4217815,0.6913422023729832
GSE142025 C1,GSM4217791,GSM4217816,0.7714779954854901
GSE142025 C1,GSM4217792,GSM4217793,0.7242611853861313
GSE142025 C1,GSM4217792,GSM4217794,0.8160443174530986
GSE142025 C1,GSM4217792,GSM4217795,0.6682131067998559
GSE142025 C1,GSM4217792,GSM4217796,0.699894852513123
GSE142025 C1,GSM4217792,GSM4217797,0.8474613037428196
GSE142025 C1,GSM4217792,GSM4217798,0.6982806523652016
GSE142025 C1,GSM4217792,GSM4217799,0.659552126655793
GSE142025 C1,GSM4217792,GSM4217800,0.8554356979671125
GSE142025 C1,GSM4217792,GSM4217801,0.6711858778405853
GSE142025 C1,GSM4217792,GSM4217808,0.7606592554060398
GSE142025 C1,GSM4217792,GSM4217809,0.7114628054693322
GSE142025 C1,GSM4217792,GSM4217810,0.8503670470470317
GSE142025 C1,GSM4217792,GSM4217811,0.7096032259395908
GSE142025 C1,GSM4217792,GSM4217812,0.814135078781007
GSE142025 C1,GSM4217792,GSM4217813,0.6926790420285679
GSE142025 C1,GSM4217792,GSM4217814,0.737788899155263
GSE142025 C1,GSM4217792,GSM4217815,0.7228614767018382
GSE142025 C1,GSM4217792,GSM4217816,0.7173404376644659
GSE142025 C1,GSM4217793,GSM4217794,0.848090271501777
GSE142025 C1,GSM4217793,GSM4217795,0.8409375929541221
GSE142025 C1,GSM4217793,GSM4217796,0.7492291758049886
GSE142025 C1,GSM4217793,GSM4217797,0.6071445402321716
GSE142025 C1,GSM4217793,GSM4217798,0.7619012397821889
GSE142025 C1,GSM4217793,GSM4217799,0.7776082711485014
GSE142025 C1,GSM4217793,GSM4217800,0.7890974728394979
GSE142025 C1,GSM4217793,GSM4217801,0.6432448549772093
GSE142025 C1,GSM4217793,GSM4217808,0.5121797463474129
GSE142025 C1,GSM4217793,GSM4217809,0.4473406401162855
GSE142025 C1,GSM4217793,GSM4217810,0.6013179340242412
GSE142025 C1,GSM4217793,GSM4217811,0.48380643118357525
GSE142025 C1,GSM4217793,GSM4217812,0.5591641650857174
GSE142025 C1,GSM4217793,GSM4217813,0.43425106026601445
GSE142025 C1,GSM4217793,GSM4217814,0.553728798291188
GSE142025 C1,GSM4217793,GSM4217815,0.48242753882202666
GSE142025 C1,GSM4217793,GSM4217816,0.5708078839286256
GSE142025 C1,GSM4217794,GSM4217795,0.773034816546012
GSE142025 C1,GSM4217794,GSM4217796,0.7572881223232283
GSE142025 C1,GSM4217794,GSM4217797,0.6827462079617191
