gene_symbol,focused_pathways,analysis_family,primary_estimand,included_studies,complete_three_study_mapping,discovery_direction,pooled_direction,direction_matches_discovery,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_145_family,fdr_bh_145_family,fdr_lt_0_05,model,inference_df,prediction_interval_df
CTGF,FIBROSIS;TGF_BETA_SIGNALING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-1.2003583198427785,0.28268891717922684,1.0396437959510298,0.3969536921056168,0.3969536921056168,-2.9083122067439726,0.5075955670584156,-2.9083122067439726,0.5075955670584156,0.09416710710409024,0.09416710710409024,-9.63120188752984,7.2304852478442845,-9.63120188752984,7.2304852478442845,5.256402240383033,61.951161487704944,0.09416710710409024,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
C6,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.6233162615900946,0.25069881536328237,0.9918282382375745,0.362202468142779,0.3636915166348633,-0.9351151766671134,2.1817476998473024,-0.9415220352262298,2.188154558406419,0.22740863890295804,0.2286884165690016,-7.2287630110432,8.47539553422339,-7.239867334061263,8.486499857241453,5.498629606981452,63.627300928568495,0.2286884165690016,0.48057710728268455,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
ACTA2,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.7510383530351381,0.25129355889544214,1.0756358563487571,0.3776970908065965,0.3776970908065965,-0.8740610657221559,2.376137771792432,-0.8740610657221559,2.376137771792432,0.18508189711403744,0.18508189711403744,-7.22405284157377,8.726129547644046,-7.22405284157377,8.726129547644046,5.184023938109662,61.41993123725247,0.18508189711403744,0.43994877182844966,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
COL3A1,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,UP,False,2.0,1.9750125639304492,2.9437754571121193,0.9999999995146949,1.2699748630468957,1.2699748633550583,-14.161548056065719,18.111573183926616,-14.161548059981296,18.111573187842193,0.36379861248289364,0.3637986125531687,,,,,11.368210843912994,91.20354105206061,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,
C1R,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.8100329873082341,4.002021800739137,1.0194359684045635,1.196031865004948,1.196031865004948,-4.336076781458873,5.956142756075341,-4.336076781458873,5.956142756075341,0.5680753322024563,0.5680753322024563,-28.805276596737414,30.42534257135388,-28.805276596737414,30.42534257135388,30.435283695777933,93.42867962069484,0.5680753322024563,0.8405196241771037,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
ACKR1,ENDOTHELIAL_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,UP,False,2.0,2.5216761027454444,1.0792247255607386,0.9999999997521841,0.8371511576046482,0.8371511577083779,-8.115337901120348,13.158690106611235,-8.115337902438359,13.158690107929246,0.20405821267304505,0.20405821269663282,,,,,4.325089214310732,76.87908964533659,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,
DCN,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.31300069910934103,5.69015309480923,1.0081025779957369,1.409938044943217,1.409938044943217,-6.379474476886715,5.7534730786680335,-6.379474476886715,5.7534730786680335,0.8449240720526507,0.8449240720526507,-35.5210626434118,34.895061245193126,-35.5210626434118,34.895061245193126,46.243690244634145,95.67508563996562,0.8449240720526507,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
SELL,LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.45476149503067637,2.916760204546322,0.9895241229547314,1.0102807741088646,1.0156145061116937,-3.892125835448361,4.801648825509714,-3.915075032009802,4.824598022071155,0.696700448979171,0.6981478161056102,-24.75809959397884,25.667622584040195,-24.79267203934433,25.702195029405683,42.56304961027006,95.30108857726816,0.6981478161056102,0.9733791666857065,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
CFP,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.48975910936470307,1.6445323720380687,1.0046769439231866,0.7785363741584027,0.7785363741584027,-2.8600125460756853,3.839530764805091,-2.8600125460756853,3.839530764805091,0.5935716472623424,0.5935716472623424,-18.572306134560495,19.5518243532899,-18.572306134560495,19.5518243532899,22.30244844389752,91.03237474113634,0.5935716472623424,0.8667578181818181,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
F7,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.3378612938290545,1.8722274667119616,1.022203787498368,0.8340362892568927,0.8340362892568927,-3.926429810465865,3.2507072228077556,-3.926429810465865,3.2507072228077556,0.7246310989468736,0.7246310989468736,-20.69891112866547,20.02318854100736,-20.69891112866547,20.02318854100736,20.061372822724188,90.03059253385425,0.7246310989468736,0.9819767228719315,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
CCL5,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.0567085633768922,1.6072429023801127,0.9707372902356272,0.7621711806199246,0.7735736472949076,-2.2226493474131575,4.336066474166942,-2.2717102017775423,4.385127328531327,0.2999385530087465,0.30525772572350296,-17.738804130666004,19.852221257419792,-17.81386249620398,19.92727962295777,24.91440875236416,91.97251670758504,0.30525772572350296,0.5532796278738491,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
TIMP2,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,UP,False,2.0,0.010262508697144686,6.529213010306882,0.9999999897556385,1.8414540846281975,1.8414540940604582,-23.387630103327886,23.408155120722178,-23.38763022317612,23.408155240570412,0.9964521253245389,0.9964521253427114,,,,,26.82593835516523,96.2722646016688,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,
SERPING1,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.05842915032862114,1.2558691846030126,1.0057949997793951,0.6877347411225824,0.6877347411225824,-2.9006546108693274,3.0175129115265693,-2.9006546108693274,3.0175129115265693,0.9400331363249911,0.9400331363249911,-16.648409845298627,16.76526814595587,-16.648409845298627,16.76526814595587,18.243846651320297,89.03739963273995,0.9400331363249911,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
JAM3,LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,DOWN,False,3.0,-0.25979907751800313,4.135102301537011,1.0169248291087243,1.2140620044690853,1.2140620044690853,-5.483486275067282,4.963888120031276,-5.483486275067282,4.963888120031276,0.8503881628390344,0.8503881628390344,-30.35245089037674,29.832852735340733,-30.35245089037674,29.832852735340733,32.038962428962805,93.75760059510533,0.8503881628390344,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
MMP9,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.6897685269324605,0.5905657937315743,0.9917695746037097,0.4967652960988541,0.49882229719373644,-1.4476400303455865,2.8271770842105077,-1.4564905917214699,2.836027645586391,0.2994049443972632,0.30088042940239723,-10.937218039972832,12.316755093837754,-10.951427685032742,12.330964738897665,10.124607425794355,80.24614766885063,0.30088042940239723,0.5532796278738491,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
ENO1,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.8258142551326133,0.6410513147731481,0.9483376040789454,0.5039973791067741,0.5175434208850819,-1.3427114438408496,2.994339954106076,-1.4009953574748633,3.05262386774009,0.24297600946428738,0.25162840981140594,-11.195253834678175,12.8468823449434,-11.287821190208895,12.939449700474121,11.790535918641238,83.03724263425607,0.25162840981140594,0.4861768554710769,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
SMAD2,TGF_BETA_SIGNALING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.0541026295497639,1.1979661047646497,1.0303977566840659,0.6826883804278988,0.6826883804278988,-2.883268394030173,2.9914736531297006,-2.883268394030173,2.9914736531297006,0.9440500064983841,0.9440500064983841,-16.336554417802553,16.44475967690208,-16.336554417802553,16.44475967690208,14.457343036173086,86.1661994531368,0.9440500064983841,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
ARNT,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.2899761678404115,1.196019194463393,0.9751670837408616,0.6626659546293979,0.6710504036799612,-2.5612453107224673,3.1411976464032905,-2.5973206833168714,3.1772730189976945,0.704404122530099,0.7077802446760056,-15.957803919863483,16.537756255544306,-16.0132671371732,16.593219472854024,21.162875724439623,90.54948851922647,0.7077802446760056,0.9774108140763887,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
PDGFRB,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,DOWN,False,2.0,-0.2172376578706515,4.741180214344208,1.0000000134983824,1.577476333922663,1.577476333922663,-20.26097492356833,19.826499607827028,-20.26097492356833,19.826499607827028,0.9128777118484377,0.9128777118484377,,,,,21.08583104737664,95.25747883612861,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,
CFI,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.10637364753305377,0.8445767100710069,1.0378437014852386,0.5873715759977052,0.5873715759977052,-2.633629562345505,2.420882267279397,-2.633629562345505,2.420882267279397,0.8729794310037969,0.8729794310037969,-13.964772462515178,13.75202516744907,-13.964772462515178,13.75202516744907,11.319512757909347,82.33139497455375,0.8729794310037969,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
PROS1,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.10206818541710952,1.0211332969546782,0.9884961476370139,0.6210073975835854,0.6246105034657742,-2.569910988957401,2.7740473597916204,-2.5854139023167853,2.7895502731510047,0.8845576238738887,0.8852147613819469,-14.968494907278904,15.172631278113125,-14.992515743217064,15.196652114051284,17.27801635401765,88.42459713533643,0.8852147613819469,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
CCL18,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,UP,False,2.0,1.2494179907656335,0.0,0.5166158443394568,0.23177318982381984,0.3224625893815776,-1.6955396115517611,4.194375593083028,-2.847857689756726,5.3466936712879924,0.11676875870804655,0.1607963993997923,,,,,0.5166158443394568,0.0,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,
F10,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.04943836598154139,1.2057532580125114,1.0010235443746902,0.6734058217204215,0.6734058217204215,-2.8479930310371038,2.9468697630001865,-2.8479930310371038,2.9468697630001865,0.9481572729645278,0.9481572729645278,-16.317557362912314,16.416434094875395,-16.317557362912314,16.416434094875395,18.312609215124468,89.07856342859,0.9481572729645278,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
SELP,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.10884555517284986,0.3670806502241831,0.9874820408668158,0.4090818548103946,0.4116665818853864,-1.6512916040962553,1.8689827144419549,-1.6624127871009884,1.880103897446688,0.815102109505933,0.8162236980008363,-9.179977721506571,9.397668831852272,-9.19839542241082,9.416086532756522,7.4620432129921666,73.1976893873008,0.8162236980008363,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
