gene_symbol,mapping_status,n_samples,n_dkd,n_control,n_male,n_female,unadjusted_mean_difference,unadjusted_welch_p,sex_adjusted_disease_beta,sex_adjusted_disease_se,sex_adjusted_disease_p,direction_changed_after_sex_adjustment,sex_adjusted_fdr_bh_145
MMP3,MAPPED,61.0,41.0,20.0,43.0,18.0,0.382388792682927,0.0005427292952640841,0.3831611764705889,0.13770208557295557,0.007266686786472741,False,0.015495140941743346
PGK1,NOT_MAPPED,,,,,,,,,,,,1.0
TGFBR2,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.9572942682926797,3.743315915599689e-08,-0.9572573817762388,0.19558961826044563,8.22917099484423e-06,False,7.95486529501609e-05
TEK,MAPPED,61.0,41.0,20.0,43.0,18.0,0.3479689024390247,0.03761000760200529,0.34703084198385487,0.18759541149748776,0.06942600774732216,False,0.11843260145131428
ANGPTL4,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.4279552317073163,2.0931528070768946e-05,-0.428679527104959,0.09171658369529724,1.8046063886186363e-05,False,0.00015392230961747193
LAMB1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.4894605365853657,0.004528813367622261,0.4910612110726653,0.1981588414275005,0.01614005115671691,False,0.030793518654262525
RAMP2,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.576100000000002,7.3421492888908386e-06,-0.5764251384083042,0.14238020628489056,0.00015472175729271166,False,0.0007736087864635583
ADAMTS4,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.009063353658537388,0.7554490445624715,-0.009279786620529924,0.030784108737693147,0.7641515802667365,False,0.8553590655131933
CXCL3,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.03487628048780511,0.3819230214567242,-0.03537029988465945,0.03798604723202981,0.3556412522052045,False,0.4645764105383302
CFB,MAPPED,61.0,41.0,20.0,43.0,18.0,0.49402718292682835,0.0030538821127816416,0.4953057900807391,0.19120502522575364,0.012102627552063264,False,0.024039465685605114
SPP1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.19898926829268504,0.5458354377370981,0.19958044982699144,0.3571665752172155,0.5784574516563381,False,0.6879870923006136
CXCL10,MAPPED,61.0,41.0,20.0,43.0,18.0,0.6525447560975604,0.129164752783618,0.6513168512110739,0.45831690980923717,0.16064043103916953,False,0.24263398438207898
CCL2,MAPPED,61.0,41.0,20.0,43.0,18.0,1.4915324146341504,0.00012862293439065936,1.4897249480968882,0.3849046880633215,0.0002780552524801965,False,0.0011060338041174234
CXCL2,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.29564449999999987,0.06050069052181207,-0.2970729065743939,0.11745873103252986,0.014174405359593066,False,0.02740385036187993
