source_feature_id,raw_annotation,candidate_gene_symbols,selected_gene_symbol,mapping_status,mean_expression,variance_expression,missing_fraction,finite_values,eligible_before_duplicate_collapse,selected_for_clean_matrix
ADAMTS16,ADAMTS16,ADAMTS16,ADAMTS16,unique_gene_symbol,11.103,0.153936,0,True,True,True
ADAMTS17,ADAMTS17,ADAMTS17,ADAMTS17,unique_gene_symbol,8.94721,0.789132,0,True,True,True
ADAMTS18,ADAMTS18,ADAMTS18,ADAMTS18,unique_gene_symbol,6.39982,0.382721,0,True,True,True
ADAMTS19,ADAMTS19,ADAMTS19,ADAMTS19,unique_gene_symbol,7.15272,1.72836,0,True,True,True
ADAMTS2,ADAMTS2,ADAMTS2,ADAMTS2,unique_gene_symbol,10.0094,0.799245,0,True,True,True
ADAMTS3,ADAMTS3,ADAMTS3,ADAMTS3,unique_gene_symbol,7.88997,0.402288,0,True,True,True
ADAMTS4,ADAMTS4,ADAMTS4,ADAMTS4,unique_gene_symbol,8.32809,2.62538,0,True,True,True
ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5,unique_gene_symbol,10.9904,0.171003,0,True,True,True
ADAMTS6,ADAMTS6,ADAMTS6,ADAMTS6,unique_gene_symbol,7.73451,0.171294,0,True,True,True
ADAMTS7,ADAMTS7,ADAMTS7,ADAMTS7,unique_gene_symbol,8.98127,0.23758,0,True,True,True
