gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
SLC7A7,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-1.0297366991906334,0.0,0.3483233892278286,0.17679379027363032,0.29955438958848024,-1.5923734438440509,-0.46709995453721587,-1.9830524595680088,-0.07642093881325807,0.010079179115313863,0.04130937105276592,-1.7904189835142228,-0.26905441486704407,-2.3186152112619416,0.25914181288067484,1.0449701676834857,0.0,0.04130937105276592,0.4380293061545702,False
SLC7A8,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-1.040218109918654,0.0,0.5034321739457471,0.21353054681456868,0.3009466604896382,-1.7197676096938879,-0.3606686101434201,-1.9979646976813736,-0.08247152215593456,0.016528321546663408,0.04074402854808334,-1.9589659000552533,-0.1214703197820548,-2.3350870801833805,0.2546508603460722,1.5102965218372415,0.0,0.04074402854808334,0.4380293061545702,False
SLC7A9,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.9682748284458047,0.0043529509168166005,0.8877244923317096,0.2840290790153463,0.301455841898247,-1.8721821215513277,-0.06436753534028161,-1.9276418587010702,-0.008907798190539107,0.04217947986017831,0.04888172867911195,-2.222890801566095,0.2863411446744857,-2.2960359238633243,0.3594862669717147,2.696450278527176,0.0,0.04888172867911195,0.4380293061545702,False
SMAD2,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.7353806621727598,0.11665820321895069,0.7181233543294522,0.29496773405638416,0.34807672697280656,-0.20333831325288731,1.674099637598407,-0.3723548315370945,1.8431161558826141,0.088243067830109,0.12504627627139214,-1.2063706543208932,2.677131978666413,-1.362865682528744,2.8336270068742637,3.165605097448957,5.231388387086314,0.12504627627139214,0.48011720805133323,False
SMAD3,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.18410043857974426,0.0,1.0621742053496561,0.29583528962654265,0.29583528962654265,-1.1255803630242704,0.757379485864782,-1.1255803630242704,0.757379485864782,0.5778332883183595,0.5778332883183595,-1.4569769550476106,1.0887760778881221,-1.4569769550476106,1.0887760778881221,3.1865226160489684,5.853484770813941,0.5778332883183595,0.7503208370701085,False
SMAD4,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.24721048991280745,0.0014347101395583664,0.7075214179959991,0.23923525803341134,0.2844168943335574,-0.5141428731092169,1.0085638529348318,-0.6579310046192889,1.1523519844449037,0.37744620085073366,0.44870121131962903,-0.7949575411312421,1.289378520956857,-0.9873410730569822,1.481762052882597,2.134491754977392,0.0,0.44870121131962903,0.6686409686297471,False
SMAD7,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.20821905964620535,0.48494374772932886,0.9000503126984672,0.44868169523655554,0.4729388146268831,-1.2196863436078016,1.636124462900212,-1.296883323588375,1.713321442880786,0.674199555243921,0.6895348466306978,-3.35613079731123,3.772568916603641,-3.413722395300606,3.830160514593017,7.013926683653238,57.2279532520372,0.6895348466306978,0.8354430275140297,False
SMPD1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.8973822314432215,0.0,0.3175357115903429,0.1664344155378103,0.29535671401873304,-1.4270508222435792,-0.3677136406428638,-1.8373391147128753,0.042574651826432164,0.012500914365001111,0.05594244012191191,-1.6134917237812372,-0.1812727391052058,-2.1681996032657542,0.37343514037931136,0.9526071347710287,0.0,0.05594244012191191,0.4380293061545702,False
SMURF1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.044766224052001,1.87845229798809,1.0836961486470347,0.8098486513486737,0.8098486513486737,-1.5325336242715792,3.6220660723755813,-1.5325336242715792,3.6220660723755813,0.28746893342595964,0.28746893342595964,-5.8048449426199635,7.894377390723966,-5.8048449426199635,7.894377390723966,11.85739116544391,74.6993250189559,0.28746893342595964,0.5983180274629728,False
SMURF2,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.3292725062746153,0.5200279370179811,0.9029005142242142,0.4600556827321969,0.4841617202462729,-1.793375014010469,1.1348300014612382,-1.8700911840321708,1.21154617148294,0.5258404718029963,0.5452290662215268,-4.009686221395775,3.3511412088465447,-4.066493628853713,3.407948616304482,7.250128891401471,58.62142528861868,0.5452290662215268,0.7260448279786658,False
