cohort,source_study,compartment,gene_symbol,n_case,n_control,case_mean,control_mean,raw_mean_difference,hedges_g,variance,welch_p_value,welch_p_for_canonical_union,welch_fdr_bh_canonical_union,analysis_tier
GSE111154,GSE111154,whole/cortical kidney,PROZ,4.0,4.0,6.924462499999999,6.429435,0.49502749999999907,0.762513551899339,0.5484522430691788,0.2623000984434183,0.2623000984434183,0.6971422979331304,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PRSS1,4.0,4.0,4.2021875,4.237322499999999,-0.03513499999999947,-0.30734318028678975,0.5078716525390665,0.636396585673301,0.636396585673301,0.9026692670741464,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PRSS2,4.0,4.0,5.0771475,5.0453225,0.03182499999999955,0.2786646972634674,0.506471167791745,0.669687782745057,0.669687782745057,0.9106908236654964,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PRTN3,4.0,4.0,4.30237,4.270805,0.03156499999999962,0.3047884371295017,0.5077413326173204,0.6461676981267288,0.6461676981267288,0.9029944462299642,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSEN1,4.0,4.0,9.42482,9.380685,0.0441350000000007,0.10387314802841362,0.5008991359067777,0.8760131893584754,0.8760131893584754,0.9782992613356624,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG1,4.0,4.0,4.0051225,4.0684249999999995,-0.06330249999999982,-0.3731609376610362,0.5116040904496719,0.5681417905584072,0.5681417905584072,0.8698387857992442,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG11,4.0,4.0,4.0907675,4.29654,-0.20577250000000014,-1.5106190841885676,0.6901641681262256,0.07305037144872077,0.07305037144872077,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG2,4.0,4.0,4.0187425,4.0833575,-0.06461499999999987,-0.3871154314498925,0.5124881964388863,0.5551420547648249,0.5551420547648249,0.8667770831835199,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG3,4.0,4.0,4.47163,4.6297875,-0.15815749999999973,-0.6523902187476751,0.5354677497931366,0.3295935982790013,0.3295935982790013,0.7440086552941775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG4,4.0,4.0,5.707579999999999,5.853745,-0.14616500000000077,-0.24597959592243712,0.5050421634675137,0.7036240983575965,0.7036240983575965,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG5,4.0,4.0,4.5563975,4.898009999999999,-0.3416124999999992,-0.7893935975191033,0.5519285209836793,0.2612151493754962,0.2612151493754962,0.6971422979331304,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG6,4.0,4.0,4.0035875,4.0763975,-0.0728099999999996,-0.555226212443063,0.5256896789153225,0.4198039275817681,0.4198039275817681,0.7836853112855466,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG7,4.0,4.0,3.99702,4.057715,-0.06069499999999994,-0.5939906756152,0.5294020768931501,0.38782043806332517,0.38782043806332517,0.7669649182708401,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG8,4.0,4.0,4.283345,4.29624,-0.012895000000000323,-0.11806305049751907,0.5011615736577316,0.8541561577477473,0.8541561577477473,0.9763245288036659,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSG9,4.0,4.0,4.63276,4.751054999999999,-0.11829499999999893,-0.5299691603705845,0.5234056092453252,0.4244945541388544,0.4244945541388544,0.7839132921951014,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA1,4.0,4.0,9.746974999999999,9.8923025,-0.1453275000000005,-0.4716893756210004,0.5185409055894774,0.4799389850289693,0.4799389850289693,0.8277361790257334,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA2,4.0,4.0,9.026240000000001,8.9385175,0.0877225000000017,0.1809461736550428,0.5027284598133668,0.785916302209874,0.785916302209874,0.945801628043191,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA3,4.0,4.0,11.007249999999999,10.917650000000002,0.08959999999999724,0.12450372511337696,0.5012917647972589,0.8474844934450944,0.8474844934450944,0.970146722759516,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA4,4.0,4.0,10.2930825,10.247275,0.045807500000000445,0.11266225992989513,0.5010577320677093,0.8628564162607112,0.8628564162607112,0.9763245288036659,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA5,4.0,4.0,8.8378575,8.702322500000001,0.13553499999999907,0.32930520338478964,0.5090368264146915,0.6245297583165563,0.6245297583165563,0.8989095602240139,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA6,4.0,4.0,10.748575,10.617675,0.13090000000000046,0.3006086318696483,0.5075304624628785,0.6539883056548499,0.6539883056548499,0.9047223380348896,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMA7,4.0,4.0,9.4101825,9.270315,0.13986749999999937,0.6517624974331752,0.5353995294216941,0.34348211479820673,0.34348211479820673,0.7468357769812085,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB1,4.0,4.0,8.557504999999999,8.4443325,0.11317249999999923,0.4262834935444169,0.5151431347390361,0.537465765777924,0.537465765777924,0.8638622095836531,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB2,4.0,4.0,7.4237325,7.37926,0.04447249999999947,0.1673408773496484,0.5023335807693459,0.7963840408311149,0.7963840408311149,0.9471889408417585,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB3,4.0,4.0,11.454675,11.290575,0.16409999999999947,0.39571023918768994,0.5130488827831649,0.5507023216052164,0.5507023216052164,0.8667770831835199,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB4,4.0,4.0,7.6909525,7.589485,0.10146750000000004,0.41786836758670276,0.514551164385798,0.537915690460739,0.537915690460739,0.8638622095836531,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB5,4.0,4.0,8.921317499999999,8.895665000000001,0.025652499999997858,0.06970185422038243,0.5004048623734799,0.9144090219407656,0.9144090219407656,0.9949747322711117,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB6,4.0,4.0,9.84535,9.847615000000001,-0.0022650000000012938,-0.004398950714374484,0.5000016125639489,0.9946135880776755,0.9946135880776755,1.0,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMB7,4.0,4.0,9.8555625,9.9984275,-0.14286500000000046,-0.35305936017720857,0.5103875759840617,0.6026472834670673,0.6026472834670673,0.8853148648306073,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMC1,4.0,4.0,10.675225,10.626724999999999,0.048500000000000654,0.1331178357356065,0.501476696515911,0.8367248821056135,0.8367248821056135,0.96488303783313,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMC2,4.0,4.0,11.844800000000001,11.681474999999999,0.16332500000000216,0.3620506281623722,0.5109233881127306,0.5876412215258934,0.5876412215258934,0.88146183228884,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMC3,4.0,4.0,9.161225,8.984414999999998,0.17681000000000147,0.35484462596998,0.510492892381648,0.5958202807573121,0.5958202807573121,0.8835743936230593,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMC4,4.0,4.0,10.001104999999999,10.0506625,-0.04955750000000059,-0.11403703973712859,0.501083703869334,0.8626053786897716,0.8626053786897716,0.9763245288036659,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMC5,4.0,4.0,10.504725,10.529,-0.02427499999999938,-0.07533466614481263,0.5004729426602625,0.9076635558272691,0.9076635558272691,0.9939116326561748,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMC6,4.0,4.0,9.837575,9.946777500000001,-0.10920250000000209,-0.3106912643335826,0.5080440884777667,0.6347535083732889,0.6347535083732889,0.9026692670741464,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD1,4.0,4.0,10.922674999999998,10.976725,-0.05405000000000193,-0.15851761676953025,0.5020939862355243,0.8053338857482585,0.8053338857482585,0.9502158697067361,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD11,4.0,4.0,9.8933025,9.889195,0.004107499999999931,0.01492405234702552,0.500018560611538,0.9820364785987172,0.9820364785987172,1.0,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD12,4.0,4.0,9.5916275,9.7650475,-0.17342000000000013,-0.4604259716897307,0.5176660062838694,0.49149477407476433,0.49149477407476433,0.8311887863942559,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD13,4.0,4.0,9.6728025,9.5970975,0.07570499999999925,0.18348493100639482,0.5028055599922018,0.7788433606569818,0.7788433606569818,0.945801628043191,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD14,4.0,4.0,9.44055,9.364415,0.07613500000000073,0.2279668173195473,0.5043307391499003,0.727793348924072,0.727793348924072,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD2,4.0,4.0,9.791165,9.714385,0.0767799999999994,0.20478133178789198,0.5034946161540685,0.7557231802012707,0.7557231802012707,0.9437876675188093,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD3,4.0,4.0,8.03158,8.1427975,-0.11121750000000041,-0.5359045329619099,0.5239328057040935,0.4366043757846141,0.4366043757846141,0.7931814993952502,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD6,4.0,4.0,9.626595,9.685777499999999,-0.05918249999999858,-0.24893369860977757,0.5051639988586286,0.7032731866140943,0.7032731866140943,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD7,4.0,4.0,10.71715,10.6034925,0.11365750000000041,0.2297711183714412,0.5043995639031386,0.7296633077597104,0.7296633077597104,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PSMD8,4.0,4.0,9.4123275,9.406465,0.0058624999999992156,0.016928452020452723,0.5000238810406508,0.9794908622435222,0.9794908622435222,1.0,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PTPN11,4.0,4.0,12.618125000000001,12.62865,-0.010524999999999451,-0.040005941945000754,0.5001333729492422,0.9511066050485711,0.9511066050485711,1.0,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PTPN6,4.0,4.0,7.00936,6.8731275,0.1362325000000002,0.6088436176800901,0.5308908792324817,0.3605841643480647,0.3605841643480647,0.7569367310577336,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PTPRS,4.0,4.0,8.594917500000001,8.272512500000001,0.32240499999999983,1.0738801003811091,0.5961015391662118,0.1313378422373352,0.1313378422373352,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PXDN,4.0,4.0,7.25717,7.129125,0.1280450000000002,0.27998665815312695,0.5065327107286464,0.6648861647472665,0.6648861647472665,0.910150117127814,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,RBL1,4.0,4.0,7.437049999999999,7.665705000000001,-0.2286550000000016,-0.4990412665373258,0.5207535154755982,0.4564791335978701,0.4564791335978701,0.8036825365912679,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,RBX1,4.0,4.0,7.789325,7.942282499999999,-0.1529574999999994,-1.503380839003964,0.6883461622570219,0.07986371098106332,0.07986371098106332,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,RHOA,4.0,4.0,14.063125,13.936049999999998,0.12707500000000138,0.666108553242123,0.5369750503918596,0.32031398064521344,0.32031398064521344,0.7440086552941775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,RNF111,4.0,4.0,8.607635,8.752410000000001,-0.144775000000001,-0.3999064542046827,0.5133270976762135,0.5463637002236391,0.5463637002236391,0.8659975248483996,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,RPS27A,4.0,4.0,7.9121675,7.8517149999999996,0.06045250000000024,0.15066147749755526,0.5018915734001456,0.8164564421182928,0.8164564421182928,0.9548120320006936,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SCUBE1,4.0,4.0,6.047435,5.907590000000001,0.13984499999999933,0.37667628479919174,0.5118237519608435,0.5702639563094397,0.5702639563094397,0.870402880682829,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SCUBE3,4.0,4.0,6.984005000000001,6.739772500000001,0.24423249999999985,0.3983094405248819,0.5132208675342703,0.5443713365796192,0.5443713365796192,0.8645897698617482,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SDC1,4.0,4.0,10.018785,9.8101925,0.20859249999999996,0.25942651205226963,0.5056085095963005,0.7010327231484365,0.7010327231484365,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SDC2,4.0,4.0,9.032407500000001,8.9397925,0.09261500000000211,0.3239623932793289,0.5087459693549392,0.6175569569727664,0.6175569569727664,0.8959739540430083,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SDC3,4.0,4.0,6.924425,6.844237499999999,0.08018750000000097,0.5898641328632424,0.5289949746032088,0.40462689988743156,0.40462689988743156,0.7671255753313775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SDC4,4.0,4.0,14.018350000000002,14.090050000000002,-0.07169999999999987,-0.15102436086257567,0.5019006964644958,0.8142627967998423,0.8142627967998423,0.9548120320006936,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SELE,4.0,4.0,5.04845,6.0752299999999995,-1.0267799999999996,-0.8609750328136478,0.5617731672607051,0.2402179093068085,0.2402179093068085,0.684910221132566,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SELL,4.0,4.0,6.0552075,5.7353325,0.3198749999999997,0.5293282358067399,0.523349031768523,0.44116422590323906,0.44116422590323906,0.793822344084776,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SELP,4.0,4.0,6.1397775,5.534895,0.6048825000000004,0.864410558286601,0.5622671344397794,0.21048930843408964,0.21048930843408964,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SELPLG,4.0,4.0,6.191187500000001,6.0749475,0.11624000000000034,0.36395286761531254,0.5110384741537841,0.5757102064549858,0.5757102064549858,0.8770060148915445,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SEM1,,,,,,,,,1.0,1.0,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPINA10,4.0,4.0,3.9572975,3.8874325,0.06986500000000007,1.1306583820851446,0.6065323647482831,0.12385249693481817,0.12385249693481817,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPINA5,4.0,4.0,10.0120475,10.254710000000001,-0.24266250000000156,-0.23285308601293128,0.5045183799721454,0.724708339489436,0.724708339489436,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPINC1,4.0,4.0,4.2090825,4.30124,-0.09215749999999989,-1.6161985088544837,0.7176748016686214,0.05155874655494454,0.05155874655494454,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPIND1,4.0,4.0,4.15446,4.2282475,-0.0737874999999999,-0.7367648608941755,0.5452352050207011,0.28647806596669306,0.28647806596669306,0.7249611198741964,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPINE1,4.0,4.0,6.5032575,6.656005,-0.15274750000000026,-0.1734484330432203,0.5025070299104291,0.7923608394316143,0.7923608394316143,0.945801628043191,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPINE2,4.0,4.0,7.161670000000001,7.249487500000001,-0.08781749999999988,-0.21726807112578536,0.5039337845608933,0.737088292815822,0.737088292815822,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPING1,4.0,4.0,12.8566,12.4524,0.40419999999999945,0.5951276480973119,0.5295147431274865,0.37097753176239134,0.37097753176239134,0.7644089667630327,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SERPINH1,4.0,4.0,6.62463,6.665212499999999,-0.0405824999999993,-0.17739398759684508,0.5026223855696258,0.7841460248918148,0.7841460248918148,0.945801628043191,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SGCA,4.0,4.0,5.0071825,5.0270375,-0.019854999999999734,-0.6773580812844568,0.5382344975234468,0.3382560474419908,0.3382560474419908,0.7440086552941775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SGCB,4.0,4.0,12.550374999999999,12.400475,0.1498999999999988,0.6511330787141968,0.535331190516319,0.33788972869735917,0.33788972869735917,0.7440086552941775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,SGCD,4.0,4.0,5.012315,4.881342500000001,0.1309724999999995,0.9894814259773604,0.5815894576961825,0.15998230478942083,0.15998230478942083,0.6627435361748365,compartment-specific contextual analysis
