cohort,gene_symbol,hedges_g_highest_mean,hedges_g_median_probe,direction_changed
GSE30528,SERPINA10,1.1965119948635348,1.1965119948635348,False
GSE30528,SERPINA5,0.4074626090735248,0.4074626090735248,False
GSE30528,SERPINC1,0.04862214404807736,0.04862214404807736,False
GSE30528,SERPIND1,-0.7561557054274788,-0.7561557054274788,False
GSE30528,SERPINE1,-0.25345281897397953,-0.19884871429251438,False
GSE30528,SERPINE2,2.803839500232698,2.803839500232698,False
GSE30528,SERPING1,-0.39848812222660523,-0.39848812222660523,False
GSE30528,SERPINH1,2.180396815919769,2.180396815919769,False
GSE30528,SGCA,0.4300324106075432,0.4300324106075432,False
GSE30528,SGCB,-0.9422532899344576,-2.8230324130665623,False
GSE30528,SGCD,0.19565001600555554,0.2001844443889438,False
GSE30528,SGCE,-3.390217377262194,-3.390217377262194,False
GSE30528,SGCG,0.6738293954710312,0.6738293954710312,False
GSE30528,SH3PXD2A,0.19464960332449002,0.5141784855542999,False
GSE30528,SHC1,1.1285786825076798,-0.5882846980155425,True
GSE30528,SIRPA,-1.1709685341912124,-1.3744740271046425,False
GSE30528,SIRPG,0.5349738676640552,0.5349738676640552,False
GSE30528,SKI,-0.8293525991649995,-0.8293525991649995,False
GSE30528,SKIL,-0.5406521708438703,-0.1722546496821987,False
GSE30528,SLC16A1,1.1353078350379744,1.1947156604100837,False
GSE30528,SLC16A8,1.0957694206189341,1.0957694206189341,False
GSE30528,SLC3A2,0.13563694674581567,0.13563694674581567,False
GSE30528,SLC7A10,-0.10007932058648257,-0.10007932058648257,False
GSE30528,SLC7A11,0.9423290606764821,0.451601485219848,False
GSE30528,SLC7A5,-0.18946875127643734,-0.18946875127643734,False
GSE30528,SLC7A6,0.6944333887249149,0.24557390322234926,False
GSE30528,SLC7A7,0.1322215776065481,0.1322215776065481,False
GSE30528,SLC7A8,0.48083938897236617,-0.258582102306694,True
GSE30528,SLC7A9,-0.3865199994181437,-0.3865199994181437,False
GSE30528,SMAD2,-1.0488118033153109,-1.5659860818439644,False
GSE30528,SMAD3,1.0252705818661785,0.06056553730182441,False
GSE30528,SMAD4,-0.2708792796619607,-0.25967776488809485,False
GSE30528,SMAD7,-0.6065339777325836,-0.6065339777325836,False
GSE30528,SMPD1,0.8895963179249725,1.5307359669405975,False
GSE30528,SMURF1,1.2104959771072155,0.698386605521296,False
GSE30528,SMURF2,-0.6415968501052169,-0.6415968501052169,False
GSE30528,SNTA1,-0.5708172647573501,-0.5708172647573501,False
GSE30528,SNTB1,0.6716522889031062,0.6065698296375468,False
GSE30528,SNTB2,0.6299870312347433,0.6251615751031394,False
GSE30528,SNTG2,0.14728537144744194,0.14728537144744194,False
GSE30528,SNW1,0.3696467773087638,0.35673666771284285,False
GSE30528,SOS1,-0.35367077186093704,-0.8497464875580814,False
GSE30528,SP1,-0.3255124310353939,-0.3255124310353939,False
GSE30528,SPARC,-0.7569626005304092,-1.969836923066232,False
GSE30528,SPN,0.009602224716788224,0.009602224716788224,False
GSE30528,SPOCK3,-0.06639599357549178,0.1596486119960945,True
GSE30528,SPP1,1.6812111487642827,1.6812111487642827,False
GSE30528,SRC,1.3519966721809558,1.0840018195779515,False
GSE30528,SSPN,0.8686331471644928,0.3715776167435366,False
GSE30528,STAT1,0.40969364187650015,-0.42326575690065354,True
GSE30528,STRAP,-1.2084097395847908,-1.2084097395847908,False
GSE30528,STUB1,0.5443337711676111,0.5443337711676111,False
GSE30528,TEK,-1.0489733742484968,-0.8261205336330893,False
GSE30528,TFDP1,0.595292799876278,-0.1000938267755218,True
GSE30528,TFDP2,0.04850633275196713,-0.29376589466091313,True
GSE30528,TFPI,-0.6848585784909562,-0.835922594209006,False
GSE30528,TGFB1,0.48880155073099874,0.6549751281956439,False
GSE30528,TGFB2,0.447592762731469,0.6323772175683728,False
